,User,Tweet,Date and Time
0,DeepTaran_Singh,i am unable to get myself waitlisted by using APS certificate number-it’s showing reference number already used. While i was on step 1 the site got hanged &amp; got reloaded &amp; thereafter nothing showing on dashboard &amp; not able to waitlist again as well !! Please help🙏🏻 https://t.co/lJqg3PmuUZ,2022-10-29 11:04:18+00:00
1,sibhig,its impossible to contact you or to book an appointment on your site. I need a Malta visa for january for my FRCS exam. its getting desperate. Please respond and help me out,2022-10-29 07:57:54+00:00
2,Tamer84943572,i keep getting this error urgent help please https://t.co/NdeT6DInJ6,2022-10-29 07:22:38+00:00
3,naren_adapa,Looks like cannot help and want me to reach out to embassy. I contacted and the person who answer the call said she can’t help with getting the status and don’t know who I need to contact. Can you please help.,2022-10-29 05:31:07+00:00
4,PabloDiazPrado,"I have been trying to book an appointment to get a Schengen Visa to visit Portugal from USA, but the system keeps showing me an error once I try to book. Could you help me out? Thanks.",2022-10-29 00:52:17+00:00
5,kimberleylovato,can you help— can’t seem to get an appointment ( or even see a calendar). Looking for January 2023,2022-10-29 00:19:57+00:00
6,NazNizar4,Having same major issues. Trying to book a priory appointment and payment keeps declining for the past 20 days. I tried it through multiple cards. No solution from they keep passing to their IT provider Digit secure who keeps giving make excuses. Help,2022-10-28 22:00:29+00:00
7,AjayRampal1,my appointment for VFS Delhi was on 28 Dec 2022 but I cancelled it because Chandigarh VFS is closer to my house and it was offering earlier appointments. Please help me book an appointment otherwise I will loose both already paid money and time. Please help! 2/2,2022-10-28 21:40:04+00:00
8,naren_adapa,It’s been more than 8 months and there is no update on my GEP application. There is no response when I try to reach out to support. Could you please help.,2022-10-28 19:47:17+00:00
9,EmmaRuthnum,PLEASE HELP ASAP. It's been saying that my visa application was successful for the past three days but I've received no email for the electronic visa?? I have just missed my flight because of this. https://t.co/etmKN2j8fz,2022-10-28 19:36:43+00:00
10,uvebruce,"London VFS is a joke. I have 15 emails to them asking for help and they only send a standard response of basically, keep trying. I got to stage 5 of my application and it crashed ... twice. No appointments and no help. if there were two options, the service would improve.",2022-10-28 19:08:30+00:00
11,poojakvj,Hi I recently applied for passport renewal. Please help me with my situation explained in the attached screenshot. Thank you. https://t.co/wnvqfiatgf,2022-10-28 18:59:05+00:00
12,CarlosJCarranz1,can you please follow up with my request and help me? Its been more than a week since we have been having the same problem. Its been a very frustrating process. Thanks.,2022-10-28 18:52:21+00:00
13,MudassirMansuri,"why is it such a hassle to book an appointment for Turkey? I have been trying for the last week and I keep getting a payment failure message . i have tried all troubleshooting steps, spoken to your customer care yet it seems to be absolutely futile… Pls Help!",2022-10-28 18:51:27+00:00
14,Dgr8alexZ,"and - Need urgent help Happy Deepawali to Everyone !!!! I have applied for a new passport as my existing passport got damaged.I have applied for a new passport on 09/09/2022. On Oct 4th 2022, I got an email saying that police verification is initiated.",2022-10-28 18:36:10+00:00
15,Coopersmum123,"Every time I try to make my visa appointment I get an error message, could someone please help me?",2022-10-28 17:28:01+00:00
16,MeritI18,"hello, the DHL tracking number that was given to me at the vfs center in Barbados is invalid and I cannot track my passport to know if it’s on its way to me and I urgently need it for the 1st of November! Help me out pls",2022-10-28 17:26:59+00:00
17,juliette_thom2,Hi I am still getting this error message when trying to book a visa appoiment. I have tried on multiple diffenrt computers and browsers and cleared all my cache and cookies and I am still getting the same thing. I tweeted yesterday and never heard back. HELP!! https://t.co/Ni0JGASOzU,2022-10-28 16:57:26+00:00
18,onlyasjad88,Hi! continuously trying to book an appointment for Austria and keeps getting logged out or system error. Please help. this is for Business purpose,2022-10-28 16:06:05+00:00
19,HeenakausarSay1,my visa decision has been made since October 3 at UKVi but I am.yet awaiting any communication from VFS. I have a job joining date which I have already crossed. Kindly help.,2022-10-28 12:22:34+00:00
20,Sushant_antil19,"It's been 7 hours, but I have not received any help from or . Even texted them on their private handles and on their support emails. is even not picking up the customer care number. Regret going with the premium service. https://t.co/dLnCdqYiOT",2022-10-28 11:17:20+00:00
21,Ankita22244759,"Could you help with my PCC application AU2084426128722, as on 5 Oct I got a msg of being sent for police verification, whereas from couple of weeks the status shows 'under review at Indian Embassy'. Need ur help as it seems to be stuck of no reason.",2022-10-28 10:35:23+00:00
22,Vipin26883,"I sent an email about appointment for renewal of my UK passport. I haven’t received any email back , this is urgent can you please let me know who and how to contact someone in Mumbai, India for it",2022-10-28 09:38:42+00:00
23,AhujaAnchal,what is the procedure to know more details on why the visa application status did not change from a month. Tracking link provides the same update from a month. Could you pls help?,2022-10-28 09:26:01+00:00
24,Edukudaa,Came for my appointment to for my 10AM appointment at 9AM. Still here. I wanted to put up an act of fainting for faster processing but looks like I'll faint for real now. I'm starving. Send help 😭😭😭,2022-10-28 09:02:23+00:00
25,Mohitambni,Any connects with ?- They have horrible customer service and operations. The passport is with them for a month and we cannot travel even for emergencies as they have an infinite timeline to return back the passport. Please help,2022-10-28 08:25:32+00:00
26,PatilFougere,- would like to share my hardship due to poor service by website mentions 5 days for attestation. but it's already 10 days and still not even acknowledge my application. I am at risk to loosing lot of money. pls help.,2022-10-28 07:53:30+00:00
27,deepaliy06,"Need to travel to UK on 6th November 2022, for my time bound scholarship. I haven’t received my passport back yet. I will miss this opportunity forever if I don’t get my visa very soon. GWF066685987 Please help",2022-10-28 07:22:36+00:00
28,deepakus18,I have submitted my business VISA application on 11th Oct at VFS New Delhi and my reference number is DHDE/111022/0010/01. I am supposed to travel in next 48 hours. Can you help ASAP?,2022-10-28 06:52:22+00:00
29,allenmachado4,"been 4 weeks that i am waiting for my Italian visa. Processing time is 2 weeks,clearly mentioned i have to fly to london on the 30th still no help from anyone at VFS i need my passport urgently ref - BANA/300922/0021/01",2022-10-28 06:12:42+00:00
30,simranbalar1997,We had applied our visa on 30th August and our travel date is early morning 1st November. We are just 3 days away from our travel and we still didn’t receive our passports. Could you please help us as all are flights are no refundable.,2022-10-28 05:58:52+00:00
31,JHniz38,PLEASE HELP RACHEL!!!,2022-10-28 05:58:11+00:00
32,PritiG0xford,I need urgent support with collection process but unable to reach authorities. I am a student at oxford and this will make a difference in whether I can attend my study week or not.,2022-10-28 05:43:00+00:00
33,rachelygr,Sounds nice! Hope it works unlike my experience! I’ve been trying for 24 days to book a visa appointment but the servers always give me the same error message! Would someone ANYONE be willing to help me?????????? https://t.co/LQocTHlVSl,2022-10-28 05:27:15+00:00
34,rachelygr,I have to say I do not think this app would be convenient if it’s like the USA website which has not allowed me to book a visa appointment for 24 days now would anyone please help me? https://t.co/XgQBHWGnvs,2022-10-28 05:24:32+00:00
35,rachelygr,after 24 days of trying to work with email customer service and 2 days since I DM’d and no help received I am begging you to please fix my account and allow me to book my visa appointment.,2022-10-28 05:19:50+00:00
36,rachelygr,Hello I’ve been in contact with your email and twitter dm at and no one can help me book a visa appointment. Every time I try online myself I get an error message. Would it be possible for someone to book my appointment or fix my account?,2022-10-28 05:10:38+00:00
37,rachelygr,Another day of trying to make a visa appointment with and no response to my error message either via email or twitter dm. I’m a customer just trying to book my appointment. Please someone help there is no phone number to call what am I supposed to do??,2022-10-28 05:09:14+00:00
38,alaboudi96,"Hi team, I have applied for a visa and it's approved but I didn't get the e-visa by email and couldn't download it from the website. Please help me Reference: W02442031137373 Payment confirmation: 101712967536855 Email : amjadalaboudi@icloud.com",2022-10-28 04:03:45+00:00
39,Gschemeofthings,"I've replied in DM with application ID, and Chris's direct contact details. Please help get the visa sorted out today! #getmydadgoing",2022-10-28 03:26:55+00:00
40,iamankit0411,I’m trying to book a priority visa slot for UK visa at singapore centre. All dates seem to be unavailable through December. Please help.,2022-10-28 01:58:15+00:00
41,MissJQuash,Hi I have been trying to book an appointment for the past few days and your website keeps telling me there are no slots. I’m applying from Ghana and destination is France. Pls help cos I’m running out of time.,2022-10-27 19:44:20+00:00
42,sandeep214368,"I have made payment of 24654 and it was shown as successful one on and as a failed one one page. But money got deducted. I have tried again, it was successful and money got deducted again - 24004 INR. Help me get refund of 24654INR",2022-10-27 15:52:34+00:00
43,sandeep214368,need help in getting a refund of failed transaction on 9th oct. Am not getting proper response even after lengthy mail chains. confirmed that transaction was successful from their end though.,2022-10-27 15:49:50+00:00
44,Iwannajacket,"your non-existent customer service and inertia is leading to my dad missing my wedding in India!!!!! Please, please help make this right and get this sorted! #getmydadgoing",2022-10-27 14:44:08+00:00
45,Finhrish,Please help to get an update No response,2022-10-27 14:28:07+00:00
46,FredRuizCastro,"Hi, I can't book an appointment and it keeps saying missiom does not exist or I exceeded the number of times error, I need help to book an appointment here in the Philippines.",2022-10-27 14:14:00+00:00
47,MohsinSRKFan,hii there. I have submitted an application for my daughter’s visa. I have an emergency &amp; tickets are already booked for 1st November. We parents both hold indian citizenship. just my daughter required visa. My visa application date was on last friday 21st oct. pls help,2022-10-27 13:54:51+00:00
48,BilkyAllen,Good luck getting any actual help.,2022-10-27 12:29:01+00:00
49,Srishti03171654,"I received mail for IHS top up payment for my husband(UK visa)but when I clicked on the the link provided I got a message""Topup Access Key Cancelled""and unable to make the payment.I contacted visa support but they are not helping.Its been 21 days since then.Pls help",2022-10-27 10:45:01+00:00
50,Navdeep33380747,Why do you charge under the name of priority services if you are not gonna actually consider it under priority ? Why do you have paid email services when you are not gonna help the individuals ? This is exasperating that we can’t track the realtime stats,2022-10-27 09:59:36+00:00
51,JamalMaxey,"""My bank account was debited 25367INR (26th Oct 6pm) for a Priority visa appointment (4th Nov, 12:30) plus doc. scanning and SMS. But I´ve not received confirmation. Please help. Thank you. App. reference number: GWF067517545."" Sharanya S Shankar",2022-10-27 08:47:29+00:00
52,JamalMaxey,- my partner is still waiting to receive confirmation of her upcoming UK visa appointment after making the necessary payment for priority processing...please can you help...,2022-10-27 08:26:46+00:00
53,Ashishsalhotra2,could you please help us out,2022-10-27 07:58:51+00:00
54,sheetalladda,"applied for priority uk visa and haven't received any updates for the past week. To my surprise upon contacting the uk immigration the decision was made on 25th oct, is this your priority service. Could you please help me out.",2022-10-27 07:51:52+00:00
55,Finhrish,Please Help,2022-10-27 05:15:34+00:00
